Date,Year,Season,Food group,Sample no,Prey species,Length,Biomass,SL or TL,Unknown Col 1,Unknown Col 2,Species
16-Mar-08,2008,Late summer,Fish,449,B. gracilis,3.18,,,,,trop
16-Mar-08,2008,Late summer,Fish,449,B. gracilis,3.27,,,,,trop
01-Sep-09,2009,Winter,Fish,887,Bathylagus sp.,5.00,,262.65,,,trop
18-Nov-09,2009,Early summer,Fish,936,Bathylagus sp.,3.82,,179.24,,,trop
29-Dec-09,2009,Early summer,Fish,975,Bathylagus sp.,4.91,,255.91,,,trop
19-Jan-10,2010,Early summer,Fish,992,Bathylagus sp.,5.09,,269.45,,,trop
16-Feb-10,2010,Late summer,Fish,1026,Bathylagus sp.,5.09,,269.45,,,trop
18-Nov-09,2009,Early summer,Cephalopod,927,Cephalopod,0.00,,,,,trop
18-Mar-10,2010,Late summer,Cephalopod,1048,Cephalopod,0.00,,,,,trop
18-Mar-10,2010,Late summer,Cephalopod,1051,Cephalopod,0.00,,,,,trop
21-Aug-08,2008,Winter,Crustacean,484,Crustacean?,0.00,,,,,trop
28-Nov-07,2007,Early summer,Fish,299,Dissostichus eleginoides,7.64,427.67,,,,trop
14-Jun-08,2008,Winter,Fish,478,Dissostichus eleginoides,6.55,321.27,,,,trop
21-Aug-08,2008,Winter,Fish,488,Dissostichus eleginoides,8.82,557.62,,,,trop
14-Oct-09,2009,Early summer,Fish,907,Dissostichus eleginoides,7.27,390.41,,,,trop
14-Oct-09,2009,Early summer,Fish,907,Dissostichus eleginoides,7.27,390.41,,,,trop
14-Oct-09,2009,Early summer,Fish,907,Dissostichus eleginoides,8.82,557.62,,,,trop
14-Oct-09,2009,Early summer,Fish,918,Dissostichus eleginoides,7.45,408.66,,,,trop
25-Apr-06,2006,Late summer,Fish,4,Electrona antarctica,1.36,1.05,1.05,,,trop
25-Apr-06,2006,Late summer,Fish,4,Electrona antarctica,1.82,2.91,2.91,,,trop
25-Apr-06,2006,Late summer,Fish,4,Electrona antarctica,2.18,5.46,5.46,,,trop
25-Apr-06,2006,Late summer,Fish,5,Electrona antarctica,1.09,0.48,0.48,,,trop
25-Apr-06,2006,Late summer,Fish,21,Electrona antarctica,1.18,0.64,0.64,,,trop
25-Apr-06,2006,Late summer,Fish,32,Electrona antarctica,0.91,0.26,0.26,,,trop
25-Apr-06,2006,Late summer,Fish,42,Electrona antarctica,1.45,1.31,1.31,,,trop
28-Nov-07,2007,Early summer,Fish,301,Electrona antarctica,1.27,0.83,0.83,,,trop
17-Dec-07,2007,Early summer,Fish,335,Electrona antarctica,1.27,0.83,0.83,,,trop
17-Dec-07,2007,Early summer,Fish,335,Electrona antarctica,1.27,0.83,0.83,,,trop
17-Dec-07,2007,Early summer,Fish,344,Electrona antarctica,1.18,0.64,0.64,,,trop
16-Jan-08,2008,Early summer,Fish,372,Electrona antarctica,1.45,1.33,1.33,,,trop
18-Jan-08,2008,Early summer,Fish,403,Electrona antarctica,1.09,0.49,0.49,,,trop
18-Jan-08,2008,Early summer,Fish,403,Electrona antarctica,1.18,0.64,0.64,,,trop
16-Mar-08,2008,Late summer,Fish,441,Electrona antarctica,1.18,0.64,0.64,,,trop
16-Mar-08,2008,Late summer,Fish,443,Electrona antarctica,3.09,18.52,18.52,,,trop
16-Mar-08,2008,Late summer,Fish,452,Electrona antarctica,1.64,2.00,2.00,,,trop
20-Dec-08,2008,Early summer,Fish,553,Electrona antarctica,1.27,0.83,0.83,,,trop
21-Feb-09,2009,Late summer,Fish,715,Electrona antarctica,1.18,0.64,0.64,,,trop
21-Feb-09,2009,Late summer,Fish,715,Electrona antarctica,1.18,0.64,0.64,,,trop
21-Feb-09,2009,Late summer,Fish,716,Electrona antarctica,1.27,0.83,0.83,,,trop
21-Feb-09,2009,Late summer,Fish,716,Electrona antarctica,1.27,0.83,0.83,,,trop
21-Feb-09,2009,Late summer,Fish,723,Electrona antarctica,1.18,0.64,0.64,,,trop
21-Feb-09,2009,Late summer,Fish,733,Electrona antarctica,1.27,0.83,0.83,,,trop
30-Mar-09,2009,Late summer,Fish,755,Electrona antarctica,1.18,0.64,0.64,,,trop
30-Mar-09,2009,Late summer,Fish,755,Electrona antarctica,1.18,0.64,0.64,,,trop
18-Nov-09,2009,Early summer,Fish,939,Electrona antarctica,1.09,0.49,0.49,,,trop
18-Nov-09,2009,Early summer,Fish,939,Electrona antarctica,1.18,0.64,0.64,,,trop
18-Nov-09,2009,Early summer,Fish,939,Electrona antarctica,1.18,0.64,0.64,,,trop
29-Dec-09,2009,Early summer,Fish,955,Electrona antarctica,1.18,0.64,0.64,,,trop
29-Dec-09,2009,Early summer,Fish,963,Electrona antarctica,1.18,0.64,0.64,,,trop
29-Dec-09,2009,Early summer,Fish,963,Electrona antarctica,1.18,0.64,0.64,,,trop
29-Dec-09,2009,Early summer,Fish,963,Electrona antarctica,1.27,0.83,0.83,,,trop
19-Jan-10,2010,Early summer,Fish,978,Electrona antarctica,1.18,0.64,0.64,,,trop
19-Jan-10,2010,Early summer,Fish,978,Electrona antarctica,1.36,1.06,1.06,,,trop
19-Jan-10,2010,Early summer,Fish,985,Electrona antarctica,1.09,0.49,0.49,,,trop
19-Jan-10,2010,Early summer,Fish,985,Electrona antarctica,1.09,0.49,0.49,,,trop
19-Jan-10,2010,Early summer,Fish,985,Electrona antarctica,1.18,0.64,0.64,,,trop
19-Jan-10,2010,Early summer,Fish,985,Electrona antarctica,1.18,0.64,0.64,,,trop
19-Jan-10,2010,Early summer,Fish,991,Electrona antarctica,1.18,0.64,0.64,,,trop
16-Feb-10,2010,Late summer,Fish,1025,Electrona antarctica,1.45,1.33,1.33,,,trop
24-Aug-06,2006,Winter,Fish,1,Electrona carlsbergi,2.00,4.04,4.04,,,trop
24-Aug-06,2006,Winter,Fish,1,Electrona carlsbergi,2.27,6.29,6.29,,,trop
24-Aug-06,2006,Winter,Fish,1,Electrona carlsbergi,2.55,9.45,9.45,,,trop
24-Aug-06,2006,Winter,Fish,1,Electrona carlsbergi,2.55,9.45,9.45,,,trop
24-Aug-06,2006,Winter,Fish,1,Electrona carlsbergi,2.55,9.45,9.45,,,trop
25-Apr-06,2006,Late summer,Fish,2,Electrona carlsbergi,1.73,2.43,2.43,,,trop
25-Apr-06,2006,Late summer,Fish,2,Electrona carlsbergi,1.91,3.44,3.44,,,trop
25-Apr-06,2006,Late summer,Fish,2,Electrona carlsbergi,1.91,3.44,3.44,,,trop
25-Apr-06,2006,Late summer,Fish,2,Electrona carlsbergi,2.00,4.04,4.04,,,trop
25-Apr-06,2006,Late summer,Fish,2,Electrona carlsbergi,2.00,4.04,4.04,,,trop
25-Apr-06,2006,Late summer,Fish,2,Electrona carlsbergi,2.00,4.04,4.04,,,trop
25-Apr-06,2006,Late summer,Fish,2,Electrona carlsbergi,2.00,4.04,4.04,,,trop
25-Apr-06,2006,Late summer,Fish,2,Electrona carlsbergi,2.00,4.04,4.04,,,trop
25-Apr-06,2006,Late summer,Fish,2,Electrona carlsbergi,2.27,6.29,6.29,,,trop
25-Apr-06,2006,Late summer,Fish,2,Electrona carlsbergi,2.27,6.29,6.29,,,trop
25-Apr-06,2006,Late summer,Fish,2,Electrona carlsbergi,2.27,6.29,6.29,,,trop
25-Apr-06,2006,Late summer,Fish,2,Electrona carlsbergi,2.36,7.21,7.21,,,trop
25-Apr-06,2006,Late summer,Fish,2,Electrona carlsbergi,2.36,7.21,7.21,,,trop
25-Apr-06,2006,Late summer,Fish,2,Electrona carlsbergi,2.36,7.21,7.21,,,trop
25-Apr-06,2006,Late summer,Fish,2,Electrona carlsbergi,2.36,7.21,7.21,,,trop
25-Apr-06,2006,Late summer,Fish,2,Electrona carlsbergi,2.36,7.21,7.21,,,trop
25-Apr-06,2006,Late summer,Fish,2,Electrona carlsbergi,2.36,7.21,7.21,,,trop
25-Apr-06,2006,Late summer,Fish,2,Electrona carlsbergi,2.45,8.22,8.22,,,trop
25-Apr-06,2006,Late summer,Fish,2,Electrona carlsbergi,2.45,8.22,8.22,,,trop
25-Apr-06,2006,Late summer,Fish,2,Electrona carlsbergi,2.55,9.45,9.45,,,trop
25-Apr-06,2006,Late summer,Fish,2,Electrona carlsbergi,2.64,10.67,10.67,,,trop
25-Apr-06,2006,Late summer,Fish,2,Electrona carlsbergi,2.91,15.00,15.00,,,trop
25-Apr-06,2006,Late summer,Fish,4,Electrona carlsbergi,1.82,2.91,2.91,,,trop
25-Apr-06,2006,Late summer,Fish,4,Electrona carlsbergi,1.91,3.44,3.44,,,trop
25-Apr-06,2006,Late summer,Fish,4,Electrona carlsbergi,2.00,4.04,4.04,,,trop
25-Apr-06,2006,Late summer,Fish,4,Electrona carlsbergi,2.18,5.46,5.46,,,trop
25-Apr-06,2006,Late summer,Fish,4,Electrona carlsbergi,2.27,6.29,6.29,,,trop
25-Apr-06,2006,Late summer,Fish,4,Electrona carlsbergi,3.18,20.46,20.46,,,trop
25-Apr-06,2006,Late summer,Fish,7,Electrona carlsbergi,2.00,4.04,4.04,,,trop
25-Apr-06,2006,Late summer,Fish,7,Electrona carlsbergi,2.09,4.71,4.71,,,trop
25-Apr-06,2006,Late summer,Fish,7,Electrona carlsbergi,2.27,6.29,6.29,,,trop
25-Apr-06,2006,Late summer,Fish,7,Electrona carlsbergi,2.64,10.67,10.67,,,trop
25-Apr-06,2006,Late summer,Fish,8,Electrona carlsbergi,2.09,4.71,4.71,,,trop
25-Apr-06,2006,Late summer,Fish,8,Electrona carlsbergi,2.73,12.00,12.00,,,trop
25-Apr-06,2006,Late summer,Fish,8,Electrona carlsbergi,2.73,12.00,12.00,,,trop
25-Apr-06,2006,Late summer,Fish,8,Electrona carlsbergi,2.82,13.44,13.44,,,trop
25-Apr-06,2006,Late summer,Fish,8,Electrona carlsbergi,2.82,13.44,13.44,,,trop
25-Apr-06,2006,Late summer,Fish,8,Electrona carlsbergi,2.82,13.44,13.44,,,trop
25-Apr-06,2006,Late summer,Fish,8,Electrona carlsbergi,3.45,27.20,27.20,,,trop
25-Apr-06,2006,Late summer,Fish,19,Electrona carlsbergi,2.73,12.00,12.00,,,trop
25-Apr-06,2006,Late summer,Fish,20,Electrona carlsbergi,1.91,3.44,3.44,,,trop
25-Apr-06,2006,Late summer,Fish,20,Electrona carlsbergi,2.27,6.29,6.29,,,trop
25-Apr-06,2006,Late summer,Fish,20,Electrona carlsbergi,2.36,7.21,7.21,,,trop
25-Apr-06,2006,Late summer,Fish,20,Electrona carlsbergi,2.36,7.21,7.21,,,trop
25-Apr-06,2006,Late summer,Fish,20,Electrona carlsbergi,2.45,8.22,8.22,,,trop
25-Apr-06,2006,Late summer,Fish,20,Electrona carlsbergi,2.55,9.45,9.45,,,trop
25-Apr-06,2006,Late summer,Fish,20,Electrona carlsbergi,2.64,10.67,10.67,,,trop
25-Apr-06,2006,Late summer,Fish,20,Electrona carlsbergi,2.82,13.44,13.44,,,trop
25-Apr-06,2006,Late summer,Fish,20,Electrona carlsbergi,2.82,13.44,13.44,,,trop
25-Apr-06,2006,Late summer,Fish,21,Electrona carlsbergi,2.73,12.00,12.00,,,trop
25-Apr-06,2006,Late summer,Fish,21,Electrona carlsbergi,2.91,15.00,15.00,,,trop
25-Apr-06,2006,Late summer,Fish,22,Electrona carlsbergi,2.64,10.67,10.67,,,trop
25-Apr-06,2006,Late summer,Fish,22,Electrona carlsbergi,2.91,15.00,15.00,,,trop
25-Apr-06,2006,Late summer,Fish,22,Electrona carlsbergi,2.91,15.00,15.00,,,trop
25-Apr-06,2006,Late summer,Fish,22,Electrona carlsbergi,2.91,15.00,15.00,,,trop
25-Apr-06,2006,Late summer,Fish,22,Electrona carlsbergi,3.00,16.69,16.69,,,trop
25-Apr-06,2006,Late summer,Fish,22,Electrona carlsbergi,3.09,18.50,18.50,,,trop
25-Apr-06,2006,Late summer,Fish,22,Electrona carlsbergi,3.36,24.80,24.80,,,trop
25-Apr-06,2006,Late summer,Fish,25,Electrona carlsbergi,3.36,24.80,24.80,,,trop
25-Apr-06,2006,Late summer,Fish,29,Electrona carlsbergi,1.91,3.44,3.44,,,trop
25-Apr-06,2006,Late summer,Fish,29,Electrona carlsbergi,2.00,4.04,4.04,,,trop
25-Apr-06,2006,Late summer,Fish,29,Electrona carlsbergi,2.27,6.29,6.29,,,trop
25-Apr-06,2006,Late summer,Fish,29,Electrona carlsbergi,2.91,15.00,15.00,,,trop
25-Apr-06,2006,Late summer,Fish,31,Electrona carlsbergi,2.64,10.67,10.67,,,trop
25-Apr-06,2006,Late summer,Fish,31,Electrona carlsbergi,3.00,16.69,16.69,,,trop
25-Apr-06,2006,Late summer,Fish,31,Electrona carlsbergi,3.00,16.69,16.69,,,trop
25-Apr-06,2006,Late summer,Fish,31,Electrona carlsbergi,3.27,22.56,22.56,,,trop
25-Apr-06,2006,Late summer,Fish,31,Electrona carlsbergi,3.36,24.80,24.80,,,trop
25-Apr-06,2006,Late summer,Fish,33,Electrona carlsbergi,2.09,4.71,4.71,,,trop
25-Apr-06,2006,Late summer,Fish,33,Electrona carlsbergi,2.09,4.71,4.71,,,trop
25-Apr-06,2006,Late summer,Fish,33,Electrona carlsbergi,2.09,4.71,4.71,,,trop
25-Apr-06,2006,Late summer,Fish,33,Electrona carlsbergi,2.36,7.21,7.21,,,trop
25-Apr-06,2006,Late summer,Fish,33,Electrona carlsbergi,2.55,9.45,9.45,,,trop
25-Apr-06,2006,Late summer,Fish,33,Electrona carlsbergi,2.55,9.45,9.45,,,trop
25-Apr-06,2006,Late summer,Fish,37,Electrona carlsbergi,3.45,27.20,27.20,,,trop
25-Apr-06,2006,Late summer,Fish,37,Electrona carlsbergi,3.45,27.20,27.20,,,trop
25-Apr-06,2006,Late summer,Fish,43,Electrona carlsbergi,3.27,22.56,22.56,,,trop
25-Apr-06,2006,Late summer,Fish,47,Electrona carlsbergi,2.18,5.46,5.46,,,trop
25-Apr-06,2006,Late summer,Fish,48,Electrona carlsbergi,2.00,4.04,4.04,,,trop
25-Apr-06,2006,Late summer,Fish,48,Electrona carlsbergi,2.09,4.71,4.71,,,trop
25-Apr-06,2006,Late summer,Fish,48,Electrona carlsbergi,2.73,12.00,12.00,,,trop
25-Apr-06,2006,Late summer,Fish,51,Electrona carlsbergi,2.64,10.67,10.67,,,trop
25-Apr-06,2006,Late summer,Fish,51,Electrona carlsbergi,3.00,16.69,16.69,,,trop
25-Apr-06,2006,Late summer,Fish,53,Electrona carlsbergi,2.00,4.04,4.04,,,trop
25-Apr-06,2006,Late summer,Fish,53,Electrona carlsbergi,2.09,4.71,4.71,,,trop
25-Apr-06,2006,Late summer,Fish,53,Electrona carlsbergi,2.18,5.46,5.46,,,trop
25-Apr-06,2006,Late summer,Fish,53,Electrona carlsbergi,2.18,5.46,5.46,,,trop
25-Apr-06,2006,Late summer,Fish,53,Electrona carlsbergi,2.18,5.46,5.46,,,trop
25-Apr-06,2006,Late summer,Fish,53,Electrona carlsbergi,2.27,6.29,6.29,,,trop
25-Apr-06,2006,Late summer,Fish,53,Electrona carlsbergi,2.27,6.29,6.29,,,trop
25-Apr-06,2006,Late summer,Fish,53,Electrona carlsbergi,2.36,7.21,7.21,,,trop
25-Apr-06,2006,Late summer,Fish,53,Electrona carlsbergi,2.36,7.21,7.21,,,trop
25-Apr-06,2006,Late summer,Fish,53,Electrona carlsbergi,2.36,7.21,7.21,,,trop
25-Apr-06,2006,Late summer,Fish,53,Electrona carlsbergi,2.36,7.21,7.21,,,trop
25-Apr-06,2006,Late summer,Fish,54,Electrona carlsbergi,2.18,5.46,5.46,,,trop
25-Apr-06,2006,Late summer,Fish,54,Electrona carlsbergi,2.27,6.29,6.29,,,trop
25-Apr-06,2006,Late summer,Fish,55,Electrona carlsbergi,2.82,13.44,13.44,,,trop
25-Apr-06,2006,Late summer,Fish,55,Electrona carlsbergi,3.00,16.69,16.69,,,trop
25-Apr-06,2006,Late summer,Fish,55,Electrona carlsbergi,3.18,20.46,20.46,,,trop
25-Apr-06,2006,Late summer,Fish,55,Electrona carlsbergi,3.18,20.46,20.46,,,trop
25-Apr-06,2006,Late summer,Fish,55,Electrona carlsbergi,3.18,20.46,20.46,,,trop
25-Apr-06,2006,Late summer,Fish,55,Electrona carlsbergi,3.27,22.56,22.56,,,trop
25-Apr-06,2006,Late summer,Fish,55,Electrona carlsbergi,3.36,24.80,24.80,,,trop
27-Sep-07,2007,Winter,Fish,268,Electrona carlsbergi,2.55,9.45,9.45,,,trop
27-Sep-07,2007,Winter,Fish,268,Electrona carlsbergi,2.55,9.45,9.45,,,trop
27-Sep-07,2007,Winter,Fish,268,Electrona carlsbergi,2.55,9.45,9.45,,,trop
27-Sep-07,2007,Early summer,Fish,270,Electrona carlsbergi,2.45,8.22,8.22,,,trop
27-Sep-07,2007,Early summer,Fish,270,Electrona carlsbergi,2.45,8.22,8.22,,,trop
