"prey","n.samples.x","fo.number.x","fo.number.LCL.x","fo.number.UCL.x","fo.percent.x","fo.percent.LCL.x","fo.percent.UCL.x","n.preyitems.x","na.number.x","na.number.LCL.x","na.number.UCL.x","na.percent.x","na.percent.LCL.x","na.percent.UCL.x","na.weighted.x","na.weighted.LCL.x","na.weighted.UCL.x","rank.fo.x","rank.na.x","rank.fo.inv.x","rank.na.inv.x","cum.fo.x","cum.na.x","fo.prim.x","na.prim.x","n.samples.y","fo.number.y","fo.number.LCL.y","fo.number.UCL.y","fo.percent.y","fo.percent.LCL.y","fo.percent.UCL.y","n.preyitems.y","na.number.y","na.number.LCL.y","na.number.UCL.y","na.percent.y","na.percent.LCL.y","na.percent.UCL.y","na.weighted.y","na.weighted.LCL.y","na.weighted.UCL.y","rank.fo.y","rank.na.y","rank.fo.inv.y","rank.na.inv.y","cum.fo.y","cum.na.y","fo.prim.y","na.prim.y"
"Bathylagus sp.",246,1,0,3,0.40650406504065,0,1.21951219512195,4381,1,0,3,0.0228258388495777,0,0.0734054010636166,0.0580720092915215,0,0.174216027874564,1,1,25,27,350.406504065041,100,"non-primary","non-primary",275,1,0,3,0.363636363636364,0,1.09090909090909,3069,1,0,3,0.0325839035516455,0,0.103113185436638,0.012987012987013,0,0.038961038961039,1,2,26,26,256.363636363636,99.9674160964484,"non-primary","non-primary"
"Crustacean",246,1,0,3,0.40650406504065,0,1.21951219512195,4381,1,0,3,0.0228258388495777,0,0.0736869054929794,0.40650406504065,0,1.21951219512195,2,3,26,25,350.813008130081,99.9543483223008,"non-primary","non-primary",275,47,34,61,17.0909090909091,12.3636363636364,22.1818181818182,3069,48,35,62,1.56402737047898,1.07126415594438,2.15817495033753,17.0909090909091,12.3636363636364,22.1818181818182,23,18,5,10,165.818181818182,95.2101661779081,"primary","non-primary"
"Dissostichus eleginoides",246,2,0,5,0.813008130081301,0,2.03252032520325,4381,2,0,5,0.0456516776991554,0,0.116586672683308,0.0407522872221203,0,0.102899525235854,6,4,21,23,348.373983739837,99.8858708057521,"non-primary","non-primary",275,2,0,5,0.727272727272727,0,1.81818181818182,3069,2,0,5,0.065167807103291,0,0.163783537592567,0.0196560196560197,0,0.0491400491400491,5,5,23,23,255.272727272727,99.8696643857934,"non-primary","non-primary"
"Electrona antarctica",246,5,1,9,2.03252032520325,0.40650406504065,3.65853658536585,4381,7,1,14.525,0.159780871947044,0.0236245999337821,0.34165843436235,0.672425474254743,0.0548357046070461,1.59247967479675,12,11,17,18,343.90243902439,99.5206573841589,"non-primary","non-primary",275,14,8,22,5.09090909090909,2.90909090909091,8,3069,67,16,176.525,2.18312153796025,0.502511345728808,5.39546136295257,1.35880368163666,0.529501996711299,2.3911653533218,18,20,10,8,226.181818181818,91.4956011730205,"non-primary","non-primary"
"Electrona carlsbergi",246,100,85,115,40.650406504065,34.5528455284553,46.7479674796748,4381,386,310,478.525,8.810773795937,7.09511840416854,10.8451525816612,10.8705163977978,8.60735710825411,13.5007890228467,24,24,4,4,230.487804878049,81.2828121433463,"primary","primary",275,126,109.475,142.525,45.8181818181818,39.8090909090909,51.8272727272727,3069,630,481.9,809.15,20.5278592375367,16.6522449455752,24.8875983367845,17.6039144620538,14.5387717251849,20.9430023274315,27,25,1,3,45.8181818181818,62.8869338546758,"primary","primary"
"Electrona sp.",246,2,0,5,0.813008130081301,0,2.03252032520325,4381,2,0,5,0.0456516776991554,0,0.114477914821843,0.0222330382949062,0,0.0567843815910443,7,5,22,22,349.186991869919,99.840219128053,"non-primary","non-primary",275,1,0,4,0.363636363636364,0,1.45454545454545,3069,1,0,4,0.0325839035516455,0,0.128778566769938,0.181818181818182,0,0.727272727272727,4,3,24,25,255.636363636364,99.9348321928967,"non-primary","non-primary"
"Electrona subaspera",246,39,28,50,15.8536585365854,11.3821138211382,20.3252032520325,4381,123,67,202.15,2.80757817849806,1.52731602307296,4.55614659503074,3.63108759944283,2.23835126227959,5.26398364148871,22,22,6,6,278.455284552846,92.5131248573385,"primary","non-primary",275,43,32,56,15.6363636363636,11.6363636363636,20.3636363636364,3069,216,136.475,325.525,7.03812316715543,4.54902598031103,10.2442759306557,5.75424261091858,3.99492319836107,7.81243277178773,21,23,6,5,181.454545454545,78.8856304985337,"primary","primary"
"Gymnoscopelus bolini",246,35,24,47.525,14.2276422764228,9.75609756097561,19.3191056910569,4381,70,42.475,107.525,1.59780871947044,0.978148192606265,2.44667425408275,1.87705861149158,1.09553889000854,3.17410070736,21,20,7,8,292.682926829268,95.9370006847752,"non-primary","non-primary",275,28,19,38,10.1818181818182,6.90909090909091,13.8181818181818,3069,66,38,99.525,2.1505376344086,1.26215631037185,3.14990359620582,1.6256114595316,0.887042647971495,2.57827318852369,19,19,9,9,221.090909090909,93.6461388074291,"non-primary","non-primary"
"Gymnoscopelus fraseri",246,79,65.475,93,32.1138211382114,26.6724738675958,37.8048780487805,4381,369,250.95,523.525,8.42273453549418,5.79327557120558,11.362358490566,7.44213875656164,5.73347165155896,9.20066554498337,23,23,5,5,262.60162601626,89.7055466788404,"primary","non-primary",275,59,46,73,21.4545454545455,16.7272727272727,26.5454545454545,3069,275,170.475,410.05,8.96057347670251,5.86865762797427,12.6521502967111,6.62570693353502,4.72158499247757,8.7059204073955,24,24,4,4,148.727272727273,71.8475073313783,"primary","primary"
"Gymnoscopelus nicholsi",246,170,156,186,69.1056910569106,63.4146341463415,75.609756097561,4381,1024,842,1216.1,23.3736589819676,19.9767756205456,26.3595758156285,21.4811077210996,18.8186242880588,24.3349648854636,26,26,2,2,147.967479674797,55.7635243095184,"primary","primary",275,119,103,135,43.2727272727273,37.4545454545455,49.1849701393497,3069,631,470.9,810.35,20.5604431410883,16.3089056175096,24.7760947321854,13.6856601430584,11.1523241404772,16.4926870437291,26,26,2,2,89.0909090909091,42.3590746171391,"primary","primary"
